customer_id,customer_segment,registration_date
CUST-0001,Corporativo,2025-08-16
CUST-0002,Corporativo,2025-09-30
CUST-0003,Corporativo,2025-10-15
CUST-0004,B2B,2025-10-24
CUST-0005,B2C,2025-05-14
CUST-0006,B2B,2025-10-10
CUST-0007,Corporativo,2025-06-02
CUST-0008,Corporativo,2025-03-07
CUST-0009,B2C,2025-05-17
CUST-0010,Corporativo,2025-04-02
CUST-0011,B2B,2025-11-13
CUST-0012,B2B,2025-09-16
CUST-0013,B2C,2025-04-13
CUST-0014,B2B,2025-02-24
CUST-0015,B2B,2025-09-14
CUST-0016,B2B,2025-04-11
CUST-0017,B2B,2025-07-17
CUST-0018,Corporativo,2025-10-28
CUST-0019,B2B,2025-08-14
CUST-0020,B2C,2025-08-25
CUST-0021,B2C,2025-01-26
CUST-0022,B2B,2025-05-01
CUST-0023,B2C,2025-07-01
CUST-0024,B2B,2025-07-18
CUST-0025,B2C,2025-10-29
CUST-0026,B2C,2025-09-12
CUST-0027,B2B,2025-05-02
CUST-0028,B2B,2025-01-31
CUST-0029,Corporativo,2025-11-11
CUST-0030,B2B,2025-10-12
CUST-0031,B2B,2025-04-16
CUST-0032,Corporativo,2025-08-12
CUST-0033,B2B,2025-09-30
CUST-0034,B2B,2025-08-20
CUST-0035,Corporativo,2025-09-13
CUST-0036,B2B,2025-01-24
CUST-0037,B2B,2025-04-19
CUST-0038,Corporativo,2025-07-10
CUST-0039,Corporativo,2025-12-13
CUST-0040,B2C,2025-01-25
CUST-0041,B2B,2025-07-06
CUST-0042,B2C,2025-10-15
CUST-0043,B2C,2025-04-26
CUST-0044,Corporativo,2025-12-04
CUST-0045,B2B,2025-02-06
CUST-0046,B2B,2025-10-09
CUST-0047,Corporativo,2025-05-17
CUST-0048,B2C,2025-08-15
CUST-0049,Corporativo,2025-11-16
CUST-0050,B2B,2025-11-24
CUST-0051,Corporativo,2025-07-01
CUST-0052,B2B,2025-12-28
CUST-0053,B2C,2025-03-27
CUST-0054,B2B,2025-02-22
CUST-0055,B2C,2025-12-14
CUST-0056,B2C,2025-12-21
CUST-0057,B2B,2025-08-23
CUST-0058,B2B,2025-09-24
CUST-0059,B2C,2025-10-14
CUST-0060,Corporativo,2025-04-10
CUST-0061,B2B,2025-03-28
CUST-0062,B2C,2025-01-15
CUST-0063,B2C,2025-04-11
CUST-0064,Corporativo,2025-06-14
CUST-0065,B2B,2025-01-29
CUST-0066,B2C,2025-04-24
CUST-0067,Corporativo,2025-04-17
CUST-0068,B2C,2025-12-30
CUST-0069,B2B,2025-05-10
CUST-0070,Corporativo,2025-03-25
CUST-0071,B2C,2025-09-28
CUST-0072,Corporativo,2025-09-01
CUST-0073,B2B,2025-08-02
CUST-0074,Corporativo,2025-11-02
CUST-0075,B2B,2025-06-15
CUST-0076,B2C,2025-10-06
CUST-0077,B2B,2025-02-28
CUST-0078,B2C,2025-03-31
CUST-0079,B2C,2025-11-27
CUST-0080,B2B,2025-07-13
CUST-0081,B2C,2025-05-03
CUST-0082,Corporativo,2025-05-16
CUST-0083,B2C,2025-05-19
CUST-0084,B2B,2025-08-17
CUST-0085,Corporativo,2025-10-01
CUST-0086,Corporativo,2025-02-19
CUST-0087,B2C,2025-04-28
CUST-0088,B2C,2025-07-21
CUST-0089,B2B,2025-07-10
CUST-0090,Corporativo,2025-12-30
CUST-0091,B2B,2025-11-19
CUST-0092,B2C,2025-06-30
CUST-0093,Corporativo,2025-03-19
CUST-0094,B2B,2025-03-16
CUST-0095,B2B,2025-10-22
CUST-0096,B2B,2025-10-08
CUST-0097,B2B,2025-01-21
CUST-0098,B2B,2025-06-20
CUST-0099,Corporativo,2025-01-15
CUST-0100,B2B,2025-07-30
CUST-0101,Corporativo,2025-02-17
CUST-0102,B2B,2025-03-27
CUST-0103,B2C,2025-05-29
CUST-0104,B2C,2025-07-07
CUST-0105,B2B,2025-11-02
CUST-0106,B2C,2025-05-31
CUST-0107,Corporativo,2025-05-21
CUST-0108,B2B,2025-03-10
CUST-0109,Corporativo,2025-09-17
CUST-0110,B2B,2025-11-30
CUST-0111,B2C,2025-01-09
CUST-0112,Corporativo,2025-05-01
CUST-0113,B2C,2025-04-11
CUST-0114,B2C,2025-05-29
CUST-0115,B2B,2025-05-26
CUST-0116,Corporativo,2025-12-19
CUST-0117,B2C,2025-08-31
CUST-0118,B2B,2025-08-29
CUST-0119,B2B,2025-12-03
CUST-0120,B2B,2025-02-12
CUST-0121,B2C,2025-04-05
CUST-0122,B2B,2025-08-14
CUST-0123,Corporativo,2025-01-06
CUST-0124,Corporativo,2025-08-02
CUST-0125,B2C,2025-07-25
CUST-0126,Corporativo,2025-03-08
CUST-0127,B2B,2025-04-10
CUST-0128,B2C,2025-01-12
CUST-0129,B2B,2025-08-25
CUST-0130,B2C,2025-11-18
CUST-0131,B2C,2025-09-15
CUST-0132,B2B,2025-12-03
CUST-0133,Corporativo,2025-05-15
CUST-0134,Corporativo,2025-08-10
CUST-0135,B2C,2025-06-05
CUST-0136,B2B,2025-05-22
CUST-0137,B2B,2025-06-07
CUST-0138,B2C,2025-11-22
CUST-0139,Corporativo,2025-12-10
CUST-0140,B2B,2025-09-19
CUST-0141,Corporativo,2025-10-10
CUST-0142,Corporativo,2025-12-04
CUST-0143,B2C,2025-12-10
CUST-0144,B2C,2025-08-17
CUST-0145,Corporativo,2025-10-07
CUST-0146,B2B,2025-12-24
CUST-0147,B2B,2025-10-17
CUST-0148,B2C,2025-06-17
CUST-0149,Corporativo,2025-02-16
