product_id,product_name,category,cost_price
PROD-001,Producto_1,Oficina,163.13
PROD-002,Producto_2,Hogar,83.07
PROD-003,Producto_3,Hogar,189.69
PROD-004,Producto_4,Oficina,84.26
PROD-005,Producto_5,Oficina,155.51
PROD-006,Producto_6,Tecnología,99.36
PROD-007,Producto_7,Hogar,180.02
PROD-008,Producto_8,Electrónica,182.01
PROD-009,Producto_9,Oficina,22.05
PROD-010,Producto_10,Hogar,187.62
PROD-011,Producto_11,Hogar,165.98
PROD-012,Producto_12,Tecnología,159.31
PROD-013,Producto_13,Electrónica,44.18
PROD-014,Producto_14,Tecnología,162.0
PROD-015,Producto_15,Electrónica,170.78
PROD-016,Producto_16,Electrónica,61.38
PROD-017,Producto_17,Oficina,190.69
PROD-018,Producto_18,Hogar,14.72
PROD-019,Producto_19,Hogar,34.23
PROD-020,Producto_20,Hogar,109.83
PROD-021,Producto_21,Electrónica,117.28
PROD-022,Producto_22,Hogar,130.8
PROD-023,Producto_23,Oficina,8.31
PROD-024,Producto_24,Electrónica,192.27
