transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,branch_region
TX-000001,2026-02-21,CUST-0114,PROD-019,5,225.77,Norte
TX-000002,2026-01-15,CUST-0066,PROD-015,5,146.55,Sur
TX-000003,2026-03-13,CUST-0105,PROD-018,10,260.08,Oeste
TX-000004,2026-03-02,CUST-0085,PROD-002,5,364.66,Sur
TX-000005,2026-01-21,CUST-0002,PROD-022,6,74.66,Sur
TX-000006,2026-03-24,CUST-0075,PROD-017,8,267.6,Este
TX-000007,2026-03-28,CUST-0067,PROD-018,2,234.9,Sur
TX-000008,2026-03-16,CUST-0055,PROD-006,6,77.67,Oeste
TX-000009,2026-03-16,CUST-0006,PROD-019,1,286.44,Oeste
TX-000010,2026-03-29,CUST-0143,PROD-004,4,134.03,Norte
TX-000011,2026-01-24,CUST-0086,PROD-001,10,227.21,Oeste
TX-000012,2026-01-03,CUST-0060,PROD-008,3,50.79,Sur
TX-000013,2026-01-22,CUST-0101,PROD-023,9,214.92,
TX-000014,2026-02-22,CUST-0012,PROD-007,3,148.31,Sur
TX-000015,2026-01-02,CUST-0049,PROD-003,6,372.74,
TX-000016,2026-03-29,CUST-0042,PROD-010,1,39.79,Este
TX-000017,2026-01-30,CUST-0082,PROD-010,6,197.09,Norte
TX-000018,2026-02-07,CUST-0035,PROD-019,4,214.42,Este
TX-000019,2026-01-02,CUST-0134,PROD-014,8,330.38,
TX-000020,2026-03-05,CUST-0067,PROD-002,11,264.82,Oeste
TX-000021,2026-03-01,CUST-0080,PROD-001,9,305.24,Norte
TX-000022,2026-01-21,CUST-0007,PROD-023,4,353.02,Este
TX-000023,2026-02-02,CUST-0014,PROD-023,10,390.06,Sur
TX-000024,2026-03-17,CUST-0073,PROD-018,10,151.54,Norte
TX-000025,2026-02-27,CUST-0143,PROD-007,6,249.04,Sur
TX-000026,2026-01-22,CUST-0149,PROD-008,1,380.45,Norte
TX-000027,2026-03-30,CUST-0066,PROD-001,4,445.41,Oeste
TX-000028,2026-02-18,CUST-0091,PROD-023,7,401.94,Sur
TX-000029,2026-02-28,CUST-0130,PROD-003,1,176.59,Oeste
TX-000030,2026-02-11,CUST-0020,PROD-024,8,99.9,Norte
TX-000031,2026-03-01,CUST-0010,PROD-023,10,227.89,Sur
